Pattern,Status,Description,Usage,Route Partition,Voicemail Profile,Active,Details
5554690000,Found,CNAM:AMNHelathcare 5554690000 Automation Use Only,Device,ENT_DEVICE_PT,VM_Profile_10Digits,false,Success
5554690001,Found,CNAM:AMNHelathcare 5554690001 Automation Use Only,Device,ENT_DEVICE_PT,VM_Profile_10Digits,false,Success
5554690002,Found,CNAM:AMNHelathcare 5554690002 Automation Use Only,Device,ENT_DEVICE_PT,VM_Profile_10Digits,false,Success
5554690003,Found,CNAM:AMNHelathcare 5554690003 Automation Use Only,Device,ENT_DEVICE_PT,VM_Profile_10Digits,false,Success
5554690004,Found,CNAM:AMNHelathcare 5554690004 Automation Use Only,Device,ENT_DEVICE_PT,VM_Profile_10Digits,false,Success
5554690005,Found,CNAM:AMNHelathcare 5554690005 Automation Use Only,Device,ENT_DEVICE_PT,VM_Profile_10Digits,false,Success
5554690006,Found,CNAM:AMNHelathcare 5554690006 Automation Use Only,Device,ENT_DEVICE_PT,VM_Profile_10Digits,false,Success
5554690007,Found,CNAM:AMNHelathcare 5554690007 Automation Use Only,Device,ENT_DEVICE_PT,VM_Profile_10Digits,false,Success
5554690008,Found,CNAM:AMNHelathcare 5554690008 Automation Use Only,Device,ENT_DEVICE_PT,VM_Profile_10Digits,false,Success
5554690009,Found,CNAM:AMNHelathcare 5554690009 Automation Use Only,Device,ENT_DEVICE_PT,VM_Profile_10Digits,false,Success
5554690010,Found,CNAM:AMNHelathcare 5554690010 Automation Use Only,Device,ENT_DEVICE_PT,VM_Profile_10Digits,false,Success
5554690011,Found,CNAM:AMNHelathcare 5554690011 Automation Use Only,Device,ENT_DEVICE_PT,VM_Profile_10Digits,false,Success
5554690012,Found,CNAM:AMNHelathcare 5554690012 Automation Use Only,Device,ENT_DEVICE_PT,VM_Profile_10Digits,false,Success
5554690013,Found,CNAM:AMNHelathcare 5554690013 Automation Use Only,Device,ENT_DEVICE_PT,VM_Profile_10Digits,false,Success
5554690014,Found,CNAM:AMNHelathcare 5554690014 Automation Use Only,Device,ENT_DEVICE_PT,VM_Profile_10Digits,false,Success
5554690015,Found,CNAM:AMNHelathcare 5554690015 Automation Use Only,Device,ENT_DEVICE_PT,VM_Profile_10Digits,false,Success
5554690016,Found,CNAM:AMNHelathcare 5554690016 Automation Use Only,Device,ENT_DEVICE_PT,VM_Profile_10Digits,false,Success
5554690017,Found,CNAM:AMNHelathcare 5554690017 Automation Use Only,Device,ENT_DEVICE_PT,VM_Profile_10Digits,false,Success
5554690018,Found,CNAM:AMNHelathcare 5554690018 Automation Use Only,Device,ENT_DEVICE_PT,VM_Profile_10Digits,false,Success
5554690019,Found,CNAM:AMNHelathcare 5554690019 Automation Use Only,Device,ENT_DEVICE_PT,VM_Profile_10Digits,false,Success
5554690020,Found,CNAM:AMNHelathcare 5554690020 Automation Use Only,Device,ENT_DEVICE_PT,VM_Profile_10Digits,false,Success
5554690021,Found,CNAM:AMNHelathcare 5554690021 Automation Use Only,Device,ENT_DEVICE_PT,VM_Profile_10Digits,false,Success
5554690022,Found,CNAM:AMNHelathcare 5554690022 Automation Use Only,Device,ENT_DEVICE_PT,VM_Profile_10Digits,false,Success
5554690023,Found,CNAM:AMNHelathcare 5554690023 Automation Use Only,Device,ENT_DEVICE_PT,VM_Profile_10Digits,false,Success
5554690024,Found,CNAM:AMNHelathcare 5554690024 Automation Use Only,Device,ENT_DEVICE_PT,VM_Profile_10Digits,false,Success
5554690025,Found,CNAM:AMNHelathcare 5554690025 Automation Use Only,Device,ENT_DEVICE_PT,VM_Profile_10Digits,false,Success
5554690026,Found,CNAM:AMNHelathcare 5554690026 Automation Use Only,Device,ENT_DEVICE_PT,VM_Profile_10Digits,false,Success
5554690027,Found,CNAM:AMNHelathcare 5554690027 Automation Use Only,Device,ENT_DEVICE_PT,VM_Profile_10Digits,false,Success
5554690028,Found,CNAM:AMNHelathcare 5554690028 Automation Use Only,Device,ENT_DEVICE_PT,VM_Profile_10Digits,false,Success
5554690029,Found,CNAM:AMNHelathcare 5554690029 Automation Use Only,Device,ENT_DEVICE_PT,VM_Profile_10Digits,false,Success
5554690030,Found,CNAM:AMNHelathcare 5554690030 Automation Use Only,Device,ENT_DEVICE_PT,VM_Profile_10Digits,false,Success
5554690031,Found,CNAM:AMNHelathcare 5554690031 Automation Use Only,Device,ENT_DEVICE_PT,VM_Profile_10Digits,false,Success
